title_en,title_ar,category,file_url,file_name,description_en,description_ar,thumbnail_url
HERO-SM,,datasheets,https://nlc.com.sa/datasheets/hero-sm.pdf,hero-sm.pdf,,,
HIGH-BEAM,,datasheets,https://nlc.com.sa/datasheets/high-beam.pdf,high-beam.pdf,,,
ICON,,datasheets,https://nlc.com.sa/datasheets/icon.pdf,icon.pdf,,,
INFINITY,,datasheets,https://nlc.com.sa/datasheets/infinity.pdf,infinity.pdf,,,
IRIS,,datasheets,https://nlc.com.sa/datasheets/iris.pdf,iris.pdf,,,
JAR,,datasheets,https://nlc.com.sa/datasheets/jar.pdf,jar.pdf,,,
JISSY,,datasheets,https://nlc.com.sa/datasheets/jissy.pdf,jissy.pdf,,,
L62,,datasheets,https://nlc.com.sa/datasheets/l62.pdf,l62.pdf,,,
L63,,datasheets,https://nlc.com.sa/datasheets/l63.pdf,l63.pdf,,,
L900,,datasheets,https://nlc.com.sa/datasheets/l900.pdf,l900.pdf,,,
LABAZ,,datasheets,https://nlc.com.sa/datasheets/labaz.pdf,labaz.pdf,,,
LADDAR,,datasheets,https://nlc.com.sa/datasheets/laddar.pdf,laddar.pdf,,,
LAMIDA,,datasheets,https://nlc.com.sa/datasheets/lamida.pdf,lamida.pdf,,,
LAVA,,datasheets,https://nlc.com.sa/datasheets/lava.pdf,lava.pdf,,,
LISA,,datasheets,https://nlc.com.sa/datasheets/lisa.pdf,lisa.pdf,,,
LUNA,,datasheets,https://nlc.com.sa/datasheets/luna.pdf,luna.pdf,,,
LUXO,,datasheets,https://nlc.com.sa/datasheets/luxo.pdf,luxo.pdf,,,
LX470,,datasheets,https://nlc.com.sa/datasheets/lx470.pdf,lx470.pdf,,,
MAGIC-R,,datasheets,https://nlc.com.sa/datasheets/magic-r.pdf,magic-r.pdf,,,
MAGIC-S,,datasheets,https://nlc.com.sa/datasheets/magic-s.pdf,magic-s.pdf,,,
MAGIC-T,,datasheets,https://nlc.com.sa/datasheets/magic-t.pdf,magic-t.pdf,,,
MAJOR,,datasheets,https://nlc.com.sa/datasheets/major.pdf,major.pdf,,,
MALLIA-2,,datasheets,https://nlc.com.sa/datasheets/mallia-2.pdf,mallia-2.pdf,,,
MALLIA,,datasheets,https://nlc.com.sa/datasheets/mallia.pdf,mallia.pdf,,,
MANTRA-L,,datasheets,https://nlc.com.sa/datasheets/mantra-l.pdf,mantra-l.pdf,,,
MANTRA,,datasheets,https://nlc.com.sa/datasheets/mantra.pdf,mantra.pdf,,,
MARCO-SYSTEM,,datasheets,https://nlc.com.sa/datasheets/marco-system.pdf,marco-system.pdf,,,
MINI-S,,datasheets,https://nlc.com.sa/datasheets/mini-s.pdf,mini-s.pdf,,,
MINI,,datasheets,https://nlc.com.sa/datasheets/mini.pdf,mini.pdf,,,
NUT,,datasheets,https://nlc.com.sa/datasheets/nut.pdf,nut.pdf,,,
OCEAN,,datasheets,https://nlc.com.sa/datasheets/ocean.pdf,ocean.pdf,,,
OMEGA,,datasheets,https://nlc.com.sa/datasheets/omega.pdf,omega.pdf,,,
OPERA,,datasheets,https://nlc.com.sa/datasheets/opera.pdf,opera.pdf,,,
ORBIT,,datasheets,https://nlc.com.sa/datasheets/orbit.pdf,orbit.pdf,,,
ORCHID,,datasheets,https://nlc.com.sa/datasheets/orchid.pdf,orchid.pdf,,,
OT-05,,datasheets,https://nlc.com.sa/datasheets/ot-05.pdf,ot-05.pdf,,,
OT-09,,datasheets,https://nlc.com.sa/datasheets/ot-09.pdf,ot-09.pdf,,,
OT-10,,datasheets,https://nlc.com.sa/datasheets/ot-10.pdf,ot-10.pdf,,,
PADDLE,,datasheets,https://nlc.com.sa/datasheets/paddle.pdf,paddle.pdf,,,
PHOTON,,datasheets,https://nlc.com.sa/datasheets/photon.pdf,photon.pdf,,,
